Roll,Pitch,Z,Area
8,14,200,0.9958794187811755
10,14,200,0.9913250921708957
12,14,200,0.9856864020819779
14,14,200,0.9791802212101497
16,14,200,0.9715896768596833
18,14,200,0.962914769030579
20,14,200,0.9533723704185643
22,14,200,0.9427456083279115
24,14,200,0.9310344827586207
26,14,200,0.9184558664064194
28,14,200,0.9047928865755801
30,14,200,0.8902624159618304
32,14,200,0.874430709173715
34,14,200,0.8579483842984168
36,14,200,0.840164823248753
38,14,200,0.8215137714161787
40,14,200,0.8017783561049664
42,14,200,0.7811754500108437
44,14,200,0.7594881804380829
46,14,200,0.736716547386684
48,14,200,0.7130774235523748
50,14,200,0.6883539362394274
52,14,200,0.6627629581435697
54,14,200,0.636087616569074
56,14,200,0.6083279115159401
58,14,200,0.5794838429841683
60,14,200,0.549772283669486
62,14,200,0.5189763608761657
64,14,200,0.48731294729993496
66,14,200,0.45456517024506615
68,14,200,0.4207330297115593
70,14,200,0.38603339839514206
72,14,200,0.3502494036000868
74,14,200,0.313597918022121
76,14,200,0.2756451962697896
-74,16,200,0.31446540880503143
-72,16,200,0.3511168943829972
-70,16,200,0.38668401648232487
-68,16,200,0.42138364779874216
-66,16,200,0.45499891563652134
-64,16,200,0.48752981999566253
-62,16,200,0.5191932335718933
-60,16,200,0.549772283669486
-58,16,200,0.5792669702884407
-56,16,200,0.6078941661244849
-54,16,200,0.6354369984818912
-52,16,200,0.6621123400563869
-50,16,200,0.6877033181522446
-48,16,200,0.7122099327694643
-46,16,200,0.7358490566037735
-44,16,200,0.7584038169594448
-42,16,200,0.779874213836478
-40,16,200,0.8004771199306008
-38,16,200,0.8199956625460855
-36,16,200,0.8384298416829321
-34,16,200,0.8559965300368684
-32,16,200,0.8724788549121666
-30,16,200,0.8880936890045543
-28,16,200,0.902624159618304
-26,16,200,0.9160702667534157
-24,16,200,0.928648883105617
-22,16,200,0.9399262632834526
-20,16,200,0.9505530253741054
-18,16,200,0.9600954239861201
-16,16,200,0.9685534591194969
-14,16,200,0.9759271307742355
-12,16,200,0.9824333116460637
-10,16,200,0.987855129039254
-8,16,200,0.9921925829538061
-6,16,200,0.9956625460854478
-4,16,200,0.9982650184341791
-2,16,200,0.9995662546085448
0,16,200,1.0
2,16,200,1.0
4,16,200,1.0
6,16,200,0.9997821350762527
8,16,200,0.9962962962962963
10,16,200,0.9915032679738562
12,16,200,0.985838779956427
14,16,200,0.9793028322440087
16,16,200,0.971677559912854
18,16,200,0.9629629629629629
20,16,200,0.9533769063180828
22,16,200,0.9427015250544662
24,16,200,0.9309368191721132
26,16,200,0.9183006535947712
28,16,200,0.9045751633986928
30,16,200,0.889760348583878
32,16,200,0.8740740740740741
34,16,200,0.8572984749455338
36,16,200,0.8394335511982571
38,16,200,0.8206971677559913
40,16,200,0.8008714596949891
42,16,200,0.7801742919389978
44,16,200,0.7583877995642702
46,16,200,0.7355119825708061
48,16,200,0.711764705882353
50,16,200,0.6869281045751634
52,16,200,0.6610021786492375
54,16,200,0.6342047930283224
56,16,200,0.606318082788671
58,16,200,0.5775599128540305
60,16,200,0.5474945533769063
62,16,200,0.5167755991285403
64,16,200,0.48474945533769065
66,16,200,0.45185185185185184
68,16,200,0.4178649237472767
70,16,200,0.38300653594771245
72,16,200,0.34705882352941175
74,16,200,0.3100217864923747
-72,18,200,0.3485838779956427
-70,18,200,0.3843137254901961
-68,18,200,0.41917211328976034
-66,18,200,0.45294117647058824
-64,18,200,0.48562091503267973
-62,18,200,0.5174291938997821
-60,18,200,0.5481481481481482
-58,18,200,0.5777777777777777
-56,18,200,0.6065359477124183
-54,18,200,0.6342047930283224
-52,18,200,0.6607843137254902
-50,18,200,0.6864923747276689
-48,18,200,0.7111111111111111
-46,18,200,0.7348583877995642
-44,18,200,0.757516339869281
-42,18,200,0.7790849673202614
-40,18,200,0.7997821350762527
-38,18,200,0.8193899782135077
-36,18,200,0.8379084967320262
-34,18,200,0.8555555555555555
-32,18,200,0.8721132897603486
-30,18,200,0.8875816993464052
-28,18,200,0.9021786492374728
-26,18,200,0.9156862745098039
-24,18,200,0.9283224400871459
-22,18,200,0.9398692810457516
-20,18,200,0.9503267973856209
-18,18,200,0.9599128540305011
-16,18,200,0.9684095860566448
-14,18,200,0.9758169934640523
-12,18,200,0.9823529411764705
-10,18,200,0.9877995642701525
-8,18,200,0.9921568627450981
-6,18,200,0.9956427015250545
-4,18,200,0.9980392156862745
-2,18,200,0.9995642701525055
0,18,200,1.0
2,18,200,1.0
4,18,200,1.0
6,18,200,1.0
8,18,200,0.9967148488830486
10,18,200,0.9918966272448533
12,18,200,0.9864213753832677
14,18,200,0.9796320630749015
16,18,200,0.9719667104686815
18,18,200,0.9632063074901446
20,18,200,0.9533508541392904
22,18,200,0.9426193604905826
24,18,200,0.9307928164695576
26,18,200,0.918090232150679
28,18,200,0.9042925974594831
30,18,200,0.8893999123959702
32,18,200,0.8736311870346036
34,18,200,0.8567674113009198
36,18,200,0.838808585194919
38,18,200,0.8199737187910644
40,18,200,0.8000438020148927
42,18,200,0.7792378449408672
44,18,200,0.7573368374945247
46,18,200,0.7343407796758651
48,18,200,0.7102496714848883
50,18,200,0.6852825229960579
52,18,200,0.6594393342093736
54,18,200,0.6322820849759089
56,18,200,0.6042487954445904
58,18,200,0.5753394656154183
60,18,200,0.5451160753394656
62,18,200,0.5142356548401227
64,18,200,0.48204117389399914
66,18,200,0.4489706526500219
68,18,200,0.41480508103372754
70,18,200,0.3797634691195795
72,18,200,0.3436268068331143
-70,20,200,0.38195356986421375
-68,20,200,0.41677617170389836
