# Fri Mar 22 16:25:06 2024
#iter,start_t0,scanf(),checkExit,loopIter,fillChar,solvePos,filltoSend,sent,total
264,0.00,0.08,0.01,0.64,0.04,0.01,0.01,0.00,0.79
265,0.00,0.10,0.01,0.36,0.04,0.01,0.01,0.00,0.52
266,0.00,0.09,0.01,0.57,0.03,0.01,0.01,0.00,0.73
267,0.00,0.11,0.01,0.28,0.03,0.01,0.01,0.00,0.45
268,0.00,0.14,0.02,0.55,0.03,0.01,0.01,0.00,0.77
269,0.00,0.07,0.01,0.38,0.02,0.01,0.01,0.00,0.50
270,0.00,0.09,0.01,0.43,0.03,0.01,0.01,0.00,0.58
271,0.00,0.10,0.01,0.64,0.04,0.01,0.01,0.00,0.82
272,0.00,0.09,0.01,0.45,0.03,0.01,0.01,0.00,0.60
273,0.00,0.08,0.01,0.44,0.03,0.01,0.01,0.00,0.59
274,0.00,0.15,0.02,0.55,0.03,0.01,0.01,0.01,0.77
275,0.00,0.24,0.03,1.00,0.05,0.01,0.01,0.00,1.35
276,0.00,0.09,0.01,0.45,0.04,0.01,0.01,0.00,0.61
277,0.00,0.11,0.01,0.69,0.04,0.01,0.01,0.00,0.88
278,0.00,0.15,0.01,0.39,0.06,0.01,0.01,0.00,0.64
279,0.00,0.07,0.01,0.28,0.02,0.01,0.01,0.00,0.40
280,0.00,0.08,0.01,0.33,0.02,0.01,0.01,0.00,0.45
281,0.00,0.08,0.01,0.37,0.03,0.01,0.01,0.00,0.51
282,0.00,0.15,0.01,0.84,0.08,0.03,0.01,0.01,1.13
283,0.00,0.09,0.01,0.47,0.03,0.01,0.01,0.00,0.63
284,0.00,2.62,0.05,1.21,1.30,0.01,0.01,0.00,5.21
285,0.00,0.20,0.03,0.02,0.04,0.02,0.02,0.01,0.34
286,0.00,0.12,0.01,0.50,0.03,0.01,0.01,0.00,0.68
287,0.00,0.10,0.01,9.48,0.06,0.02,0.01,0.01,9.68
288,0.00,0.10,0.01,0.50,0.04,0.01,0.01,0.00,0.66
289,0.00,0.21,0.03,2.61,0.06,0.01,0.01,0.00,2.94
290,0.00,0.10,0.01,0.52,0.03,0.01,0.24,0.01,0.92
291,0.00,0.12,0.01,7.07,0.04,0.01,0.01,0.00,7.27
292,0.00,0.09,0.01,1.51,0.04,0.01,0.01,0.00,1.67
