Z,Roll,Pitch,Area
2,-54,0,0.977577834904313
4,-54,0,0.9718651813767495
6,-54,0,0.9655812624964296
8,-54,0,0.9585832619251642
10,-54,0,0.9510139960011426
12,-54,0,0.9427306483861754
14,-54,0,0.9337332190802627
16,-54,0,0.9241645244215938
18,-54,0,0.9138817480719794
20,-54,0,0.9028848900314196
22,-54,0,0.8913167666381034
24,-54,0,0.8790345615538417
26,-54,0,0.8661810911168237
28,-54,0,0.8524707226506713
30,-54,0,0.8383319051699515
32,-54,0,0.8233361896600971
34,-54,0,0.8077692087974865
36,-54,0,0.7914881462439303
-38,-52,0,0.9521565267066553
-36,-52,0,0.9597257926306769
-34,-52,0,0.9665809768637532
-32,-52,0,0.9728648957440731
-30,-52,0,0.9784347329334476
-28,-52,0,0.9834333047700657
-26,-52,0,0.9877177949157384
-24,-52,0,0.9912882033704655
-22,-52,0,0.9942873464724364
-20,-52,0,0.9965724078834619
-18,-52,0,0.998286203941731
-16,-52,0,0.9991431019708654
-14,-52,0,0.9995715509854327
-12,-52,0,0.9991431019708654
-10,-52,0,0.9981433876035418
-8,-52,0,0.9964295915452728
-6,-52,0,0.9941445301342473
-4,-52,0,0.9911453870322765
-2,-52,0,0.9874321622393601
0,-52,0,0.9831476720936875
2,-52,0,0.9781491002570694
4,-52,0,0.9724364467295059
6,-52,0,0.9661525278491859
8,-52,0,0.9591545272779206
10,-52,0,0.9515852613538989
12,-52,0,0.9433019137389317
14,-52,0,0.9343044844330192
16,-52,0,0.9245929734361611
18,-52,0,0.9143101970865467
20,-52,0,0.9034561553841759
22,-52,0,0.8917452156526706
24,-52,0,0.879463010568409
26,-52,0,0.866609540131391
28,-52,0,0.8530419880034276
30,-52,0,0.8387603541845187
32,-52,0,0.8237646386746644
34,-52,0,0.8081976578120537
36,-52,0,0.7919165952584976
38,-52,0,0.7750642673521851
-40,-50,0,0.9443016281062554
-38,-50,0,0.9525849757212225
-36,-50,0,0.9601542416452442
-34,-50,0,0.9671522422165095
-32,-50,0,0.9734361610968295
-30,-50,0,0.9790059982862039
-28,-50,0,0.9838617537846329
-26,-50,0,0.9881462439303056
-24,-50,0,0.9917166523850328
-22,-50,0,0.9947157954870037
-20,-50,0,0.9970008568980291
-18,-50,0,0.9985718366181091
-16,-50,0,0.9995715509854327
-14,-50,0,0.9998571836618109
-12,-50,0,0.9995715509854327
-10,-50,0,0.99842902027992
-8,-50,0,0.9968580405598401
-6,-50,0,0.9944301628106256
-4,-50,0,0.9914310197086547
-2,-50,0,0.9877177949157384
0,-50,0,0.9834333047700657
2,-50,0,0.9784347329334476
4,-50,0,0.9727220794058841
6,-50,0,0.9664381605255641
8,-50,0,0.9594401599542988
10,-50,0,0.951728077692088
12,-50,0,0.9434447300771208
14,-50,0,0.9344473007712082
16,-50,0,0.9248786061125392
18,-50,0,0.9145958297629249
20,-50,0,0.903598971722365
22,-50,0,0.8920308483290489
24,-50,0,0.8797486432447872
26,-50,0,0.8667523564695802
28,-50,0,0.8531848043416167
30,-50,0,0.8389031705227078
32,-50,0,0.8239074550128535
34,-50,0,0.8083404741502428
