Z,Roll,Pitch,Area
25,55,0,0.8233792751403778
30,55,0,0.759315977539561
35,55,0,0.6875957120980092
-30,60,0,0.9711587544665645
-25,60,0,0.9880040837161818
-20,60,0,0.9977029096477795
-15,60,0,1.0
-10,60,0,1.0
-5,60,0,1.0
0,60,0,1.0
5,60,0,1.0
10,60,0,0.9724290046870692
15,60,0,0.9269368624207334
20,60,0,0.8734491315136477
25,60,0,0.811965811965812
30,60,0,0.7424869037772264
-25,65,0,0.9873173421560518
-20,65,0,0.9977943203749655
-15,65,0,1.0
-10,65,0,1.0
-5,65,0,1.0
0,65,0,1.0
5,65,0,1.0
10,65,0,0.9732169726151069
15,65,0,0.9232621125489016
20,65,0,0.8645801986157087
25,65,0,0.7974721637074932
-20,70,0,0.9975925368642793
-15,70,0,1.0
-10,70,0,1.0
-5,70,0,1.0
0,70,0,1.0
5,70,0,1.0
10,70,0,0.9737192282102461
15,70,0,0.9184963406520292
20,70,0,0.8536260811709914
-15,75,0,1.0
-10,75,0,1.0
-5,75,0,1.0
0,75,0,1.0
5,75,0,1.0
10,75,0,0.9826611383339615
15,75,0,0.9200904636260837
-10,80,0,1.0
-5,80,0,1.0
0,80,0,1.0
5,80,0,1.0
10,80,0,1.0
-5,85,0,1.0
0,85,0,1.0
5,85,0,1.0
0,90,0,1.0
0,-90,10,0.9133099824868651
-5,-85,10,0.9376824284880327
0,-85,10,0.9289258610624636
5,-85,10,0.916082895504962
-10,-80,10,0.9559252772913018
-5,-80,10,0.9514010507880911
0,-80,10,0.9426444833625219
5,-80,10,0.9296555750145943
10,-80,10,0.9124343257443083
-15,-75,10,0.9681844716870986
-10,-75,10,0.9678925861062464
-5,-75,10,0.9632224168126094
0,-75,10,0.9544658493870403
5,-75,10,0.9413309982486865
10,-75,10,0.9241097489784005
15,-75,10,0.902656158785756
-20,-70,10,0.9744600116754233
-15,-70,10,0.9782545242265032
-10,-70,10,0.9778166958552248
-5,-70,10,0.9731465265615878
0,-70,10,0.9642440163455925
5,-70,10,0.9512551079976649
10,-70,10,0.9338879159369528
15,-70,10,0.912288382953882
20,-70,10,0.886456509048453
-25,-65,10,0.9747518972562755
-20,-65,10,0.982778750729714
-15,-65,10,0.9864273204903677
-10,-65,10,0.9859894921190894
-5,-65,10,0.9811733800350263
0,-65,10,0.972270869819031
5,-65,10,0.9591360186806772
10,-65,10,0.9416228838295388
15,-65,10,0.9200233508464681
20,-65,10,0.8941914769410391
25,-65,10,0.8639813193228254
-30,-60,10,0.9690601284296556
-25,-60,10,0.9811733800350263
-20,-60,10,0.9890542907180385
-15,-60,10,0.9927028604786924
-10,-60,10,0.9921190893169878
-5,-60,10,0.9873029772329247
0,-60,10,0.9782545242265032
5,-60,10,0.9651196730881495
10,-60,10,0.9476065382370111
15,-60,10,0.9258610624635143
20,-60,10,0.8998832457676591
25,-60,10,0.8696730881494454
30,-60,10,0.8352305896088733
-35,-55,10,0.9573847051955633
-30,-55,10,0.9735843549328663
-25,-55,10,0.985697606538237
-20,-55,10,0.9934325744308231
-15,-55,10,0.997081144191477
-10,-55,10,0.9964973730297724
-5,-55,10,0.9915353181552832
0,-55,10,0.9824868651488616
5,-55,10,0.9690601284296556
10,-55,10,0.9515469935785172
15,-55,10,0.9298015178050204
20,-55,10,0.9036777583187391
25,-55,10,0.8734676007005254
30,-55,10,0.8390251021599533
35,-55,10,0.8002043199065966
-40,-50,10,0.9397256275539988
-35,-50,10,0.9601576182136602
-30,-50,10,0.9763572679509632
-25,-50,10,0.9883245767659078
-20,-50,10,0.9960595446584939
-15,-50,10,0.9995621716287215
-10,-50,10,0.9988324576765908
-5,-50,10,0.9938704028021016
0,-50,10,0.9846760070052539
5,-50,10,0.9712492702860479
10,-50,10,0.9535901926444834
15,-50,10,0.9316987740805605
20,-50,10,0.9057209573847051
25,-50,10,0.8753648569760654
30,-50,10,0.8407764156450671
35,-50,10,0.8019556333917105
40,-50,10,0.7589025102159953
-45,-45,10,0.9159369527145359
-40,-45,10,0.9406012842965558
-35,-45,10,0.960887332165791
-30,-45,10,0.977086981903094
-25,-45,10,0.9889083479276124
-20,-45,10,0.9966433158201985
-15,-45,10,1.0
-10,-45,10,1.0
-5,-45,10,0.9954698231769692
0,-45,10,0.9862633347946806
5,-45,10,0.972818939061815
10,-45,10,0.9549905012421452
15,-45,10,0.9330702908081251
20,-45,10,0.9069121730235277
25,-45,10,0.8763700131521263
30,-45,10,0.8417360806663744
35,-45,10,0.8028642408300453
40,-45,10,0.7596083589069121
45,-45,10,0.7122607043694286
-50,-40,10,0.8874762531053632
-45,-40,10,0.9162647961420429
-40,-40,10,0.9408154318281455
-35,-40,10,0.9611281601636709
-30,-40,10,0.977202981148619
-25,-40,10,0.9890398947829899
-20,-40,10,0.9966389010667835
-15,-40,10,1.0
-10,-40,10,1.0
-5,-40,10,0.9973607038123167
0,-40,10,0.9879765395894429
5,-40,10,0.9743401759530792
10,-40,10,0.9564516129032258
15,-40,10,0.9343108504398827
20,-40,10,0.9080645161290323
25,-40,10,0.8774193548387097
30,-40,10,0.8425219941348974
35,-40,10,0.8033724340175953
40,-40,10,0.7599706744868036
45,-40,10,0.7124633431085043
50,-40,10,0.6605571847507331
-55,-35,10,0.8545454545454545
-50,-35,10,0.8875366568914956
-45,-35,10,0.9164222873900293
-40,-35,10,0.9409090909090909
-35,-35,10,0.9612903225806452
-30,-35,10,0.9772727272727273
-25,-35,10,0.989149560117302
-20,-35,10,0.9966275659824047
-15,-35,10,1.0
-10,-35,10,1.0
-5,-35,10,0.9991155660377359
0,-35,10,0.9896816037735849
5,-35,10,0.9759728773584906
10,-35,10,0.9578419811320755
15,-35,10,0.9355837264150944
20,-35,10,0.9089033018867925
25,-35,10,0.8780955188679245
30,-35,10,0.8430129716981132
35,-35,10,0.8036556603773585
40,-35,10,0.7598761792452831
45,-35,10,0.7119693396226415
50,-35,10,0.6597877358490566
55,-35,10,0.6033313679245284
-60,-30,10,0.8169221698113207
-55,-30,10,0.8543632075471698
-50,-30,10,0.8875294811320755
-45,-30,10,0.9164209905660378
-40,-30,10,0.9410377358490566
-35,-30,10,0.9613797169811321
-30,-30,10,0.9774469339622641
-25,-30,10,0.9892393867924528
-20,-30,10,0.9967570754716981
-15,-30,10,1.0
-10,-30,10,1.0
-5,-30,10,1.0
0,-30,10,0.9913882702301411
5,-30,10,0.9774313288789903
10,-30,10,0.9591685226429102
15,-30,10,0.9365998515219005
20,-30,10,0.9097253155159614
25,-30,10,0.8785449146250928
30,-30,10,0.8432071269487751
35,-30,10,0.8034149962880475
40,-30,10,0.7593170007423905
45,-30,10,0.710913140311804
50,-30,10,0.6583518930957684
55,-30,10,0.6013363028953229
60,-30,10,0.540014847809948
-65,-25,10,0.7743132887899035
-60,-25,10,0.816332590942836
-55,-25,10,0.8538975501113586
-50,-25,10,0.887305122494432
-45,-25,10,0.9162583518930958
-40,-25,10,0.9410541945063103
-35,-25,10,0.961395694135115
-30,-25,10,0.9775798069784707
-25,-25,10,0.9893095768374165
-20,-25,10,0.9968819599109131
-15,-25,10,1.0
-10,-25,10,1.0
-5,-25,10,1.0
0,-25,10,0.9929566911434138
5,-25,10,0.9788700734302412
10,-25,10,0.9604375842949199
15,-25,10,0.9375093661022029
20,-25,10,0.9103851341225836
25,-25,10,0.8789150307208152
30,-25,10,0.8429491982616514
35,-25,10,0.8027873520155852
40,-25,10,0.75827963434737
45,-25,10,0.7092761876217594
50,-25,10,0.6560767271092462
55,-25,10,0.5985313951745841
60,-25,10,0.5366401918177731
65,-25,10,0.4704031170388131
-70,-20,10,0.7263599580398621
-65,-20,10,0.7729656826015285
-60,-20,10,0.8152255357410461
-55,-20,10,0.8531395174584145
-50,-20,10,0.8867076277536341
-45,-20,10,0.9159298666267046
-40,-20,10,0.9408062340776262
-35,-20,10,0.961336730106399
-30,-20,10,0.9775213547130226
-25,-20,10,0.9893601078974974
-20,-20,10,0.9968529896598232
-15,-20,10,1.0
-10,-20,10,1.0
-5,-20,10,1.0
0,-20,10,0.9946953622309791
5,-20,10,0.9802970597150652
10,-20,10,0.9615034859048196
15,-20,10,0.9383146408002425
20,-20,10,0.9107305244013337
25,-20,10,0.8789026977872082
30,-20,10,0.8425280387996362
35,-20,10,0.8017581085177327
40,-20,10,0.7565929069414974
45,-20,10,0.7071839951500455
50,-20,10,0.653228250985147
55,-20,10,0.594877235525917
60,-20,10,0.5321309487723552
65,-20,10,0.46514095180357684
