# Thu Mar 21 01:24:14 2024

#test,startt0,iter._st,after_ch,start_us,after_so,end_useT,sent_fro,after_fl,
121,0.00,0.13,0.02,0.75,0.02,0.05,0.01,0.05,49.74,0.72,
122,0.00,0.15,0.02,0.46,0.01,0.05,0.01,0.05,27.41,0.43,
123,0.00,0.11,0.03,0.41,0.01,0.04,0.00,0.03,34.45,0.39,
124,0.00,1.40,0.05,1.17,1.38,0.11,0.02,0.06,39.66,1.14,
125,0.00,0.17,0.04,0.83,0.02,0.06,0.01,0.04,45.26,0.80,
126,0.00,0.10,0.01,0.65,0.03,0.09,0.02,0.11,35.22,0.60,
127,0.00,0.17,0.03,1.03,0.02,0.09,0.01,0.10,43.20,1.01,
128,0.00,0.14,0.02,0.38,0.01,0.03,0.01,0.05,45.26,0.36,
129,0.00,0.14,0.02,0.63,0.01,0.04,0.01,0.04,42.40,0.61,
130,0.00,0.14,0.02,0.75,0.03,0.05,0.01,0.04,35.24,0.70,
131,0.00,0.10,0.01,0.51,0.01,0.03,0.00,0.03,35.46,0.49,
132,0.00,0.14,0.02,4.10,0.01,0.01,0.00,0.06,181.13,4.03,
133,0.00,0.14,0.02,1.75,0.02,0.01,0.01,0.08,31.56,1.61,
134,0.00,0.16,0.01,0.61,0.01,0.01,0.00,0.03,34.14,0.56,
135,0.00,0.14,0.02,0.81,0.01,0.01,0.00,0.03,51.19,0.77,
136,0.00,0.32,0.05,1.34,0.02,0.01,0.01,0.08,60.10,1.21,
137,0.00,0.11,0.01,0.63,0.01,0.01,0.00,0.05,53.01,0.57,
138,0.00,0.16,0.02,0.64,0.01,0.01,0.01,0.05,52.84,0.57,
139,0.00,0.15,0.02,0.48,0.01,0.01,0.00,0.03,25.95,0.43,
140,0.00,0.13,0.02,0.32,0.01,0.01,0.00,0.03,28.77,0.28,
141,0.00,0.11,0.01,0.40,0.01,0.01,0.00,0.03,35.75,0.34,
142,0.00,0.09,0.01,3.36,0.01,0.01,0.00,0.04,50.91,3.24,
143,0.00,0.08,0.01,4.65,0.03,0.02,0.01,0.09,56.48,4.53,
144,0.00,0.10,0.01,12.38,0.02,0.01,0.00,0.04,50.86,12.28,
145,0.00,0.17,0.02,0.70,0.01,0.01,0.00,0.05,32.84,0.64,
146,0.00,0.29,0.05,0.68
